Month,Day,Lunar Month,Lunar Day,Pressure,Maximum temperature,Mean temperature,Minimum temperature,Dew Point Temperature,Relative Humidity,Amount of Cloud,Rainfall,Reduced visibility,Sunshine,Radiation,Evaporation,Wind Direction,Wind Speed
1,1,11,22,1025.9,19.9,18.3,16.8,13.1,72,49,Trace,12,9.3,15.24,3.1,80,26.3
1,2,11,23,1022,21.7,18.9,17.2,15.6,81,83,0.3,20,0.6,7.77,2,50,15.3
1,3,11,24,1019.7,20.3,19.3,18,18.4,95,91,5.6,3,-,4.39,0.6,40,14.2
1,4,11,25,1018.9,22.3,20.6,19.1,18.8,90,88,Trace,0,1,8.59,1.2,50,16.9
1,5,11,26,1015.9,21.3,20.7,20.2,19.9,95,81,46.7,1,-,2.23,N.A.,40,13.7
1,6,11,27,1018.8,24.3,20.9,19.2,18,84,51,Trace,6,7.7,14.99,3.6,20,14.5
1,7,11,28,1021.8,21.4,18.8,17,15,79,56,-,0,3.4,9.65,3,30,21.5
1,8,11,29,1020.8,21,18.4,16.5,14.4,78,28,-,10,7.7,14.24,2.5,60,14.3
1,9,11,30,1020.6,18.9,18.1,17.1,14.3,78,79,-,1,3.3,9.68,0.6,70,39.3
1,10,12,1,1017.5,18.5,18,17.2,15.5,85,91,6.9,4,-,2.76,0.5,70,37.7
1,11,12,2,1016.5,20.4,18.1,16.5,16.4,90,90,30.7,0,2.1,8.52,1.3,40,23.3
1,12,12,3,1019.9,18.5,17.3,16.1,13.7,79,86,-,0,0.6,7.24,2.9,20,23.9
1,13,12,4,1020.8,18.7,16.1,14.2,12.1,77,34,-,3,9.1,16.14,3.4,30,24.4
1,14,12,5,1019.3,17.5,16.5,15.6,12.9,79,81,1.1,0,1.5,7.14,2.2,60,33.2
1,15,12,6,1015.4,16.1,15.1,14.5,14.6,97,97,38.8,0,-,1.42,N.A.,50,37.5
1,16,12,7,1013.5,17.1,16.4,15.5,15.6,95,93,12.3,7,-,2.19,2.1,60,40
1,17,12,8,1011.5,20.6,17.8,14.8,16.1,90,79,24.6,4,1.6,6.49,2,20,23.4
1,18,12,9,1017.1,17.8,15.2,11.9,11,76,49,-,0,3.9,10.45,1.8,50,28.4
1,19,12,10,1020.1,17.6,16.4,15.3,12.5,78,84,-,3,1,6.45,1.4,60,38
1,20,12,11,1019.6,16.8,15.5,14.8,13.9,90,92,3.3,3,-,1.85,0.1,70,50.6
1,21,12,12,1017.7,17.1,16.1,15.1,15.3,95,100,0.1,0,-,2.45,0.2,50,26.2
1,22,12,13,1018.9,16.2,14.1,10.3,12.9,92,100,12.9,2,-,1.96,0.8,50,35.3
1,23,12,14,1027.1,10.4,8.5,7,3.4,70,95,0.5,0,-,3.2,0.2,20,55.5
1,24,12,15,1034.6,7.1,4.9,3.1,-2.2,61,96,4,0,-,2.93,1.5,20,59.5
1,25,12,16,1032.6,10.8,7.4,4.3,-3.7,46,25,-,0,10.1,19.07,3.1,20,28.7
1,26,12,17,1027.1,13.5,10.4,8.1,2.5,59,85,Trace,0,0.4,5.83,0.2,20,21.3
1,27,12,18,1022.7,15.3,13,9.8,11.6,92,95,3.5,0,0.2,5.01,0.8,20,29.6
1,28,12,19,1018.2,17.4,16.1,14.8,15.7,98,100,42.5,0,-,2.45,N.A.,60,28.8
1,29,12,20,1017.9,17.4,16.6,15.9,15.9,96,91,32.8,0,0.2,6.38,N.A.,50,25
